Country,Unemployed,Economically Active Population,Employed
Argentina,136699,608338,471639
Bahamas,6840,21318,14478
Bolivia,30975,358749,327774
Brazil,2248935,7887454,5638519
Barbados,2630,8487,5857
Chile,94847,439698,344851
Colombia,454956,1882076,1427120
Costa Rica,34489,143345,108856
Dominican Republic,67594,282246,214652
Ecuador,51288,450665,399377
Guatemala,48876,526354,477478
Honduras,56347,320123,263776
Jamaica,35983,82538,46555
Mexico,307401,3968290,3660889
Nicaragua,27086,211453,184367
Panama,21298,107932,86634
Peru,101739,1256214,1154475
Paraguay,38777,283585,244808
El Salvador,18762,195496,176734
Uruguay,26939,112526,85587
Venezuela,115469,662992,547523
