Country,Agriculture,Mining,Manufacturing,Construction,Commerce,Transportation,Financial,Social 
Argentina,4674,1856,193861,198991,420306,55709,107428,350244
Bahamas,0,0,0,0,0,0,0,0
Bolivia,246553,19184,92635,105629,209511,38582,6486,116683
Brazil,1688785,29860,1904069,1224230,4690273,608279,329151,3783043
Barbados,0,0,0,0,0,0,0,0
Chile,75349,11785,75114,77763,293881,52928,12798,211104
Colombia,601108,33626,391122,255421,1106762,282814,104085,815201
Costa Rica,39885,346,30930,19274,91540,8305,10773,85825
Dominican Republic,90091,2891,90438,49826,237251,51818,37209,163417
Ecuador,332542,6318,127724,94266,311610,50387,61329,128296
Guatemala,663594,1787,229399,83150,454424,66241,31756,223780
Honduras,293198,4859,141589,55272,206161,21124,10206,124065
Jamaica,16602,746,10312,9301,46532,8433,14857,21502
Mexico,1491214,34400,1798598,729756,2160694,269875,72336,3179204
Nicaragua,245970,3842,82462,29605,135884,17493,4134,87976
Panama,56202,497,16018,31709,73056,15918,7623,55193
Peru,629704,29079,253950,178064,776614,244580,31284,489248
Paraguay,124936,0,88717,59996,190939,21437,37111,145632
El Salvador,141987,509,89547,26333,162360,21484,20674,64328
Uruguay,20571,463,24908,16481,68120,10635,22528,49607
Venezuela,194044,15521,204332,198672,509945,135839,72277,437954
